"","date","negative","positive","sentiment"
"1",1998-06-09,3,7,0.4
"2",1998-07-08,16,33,0.346938775510204
"3",1998-09-11,30,38,0.117647058823529
"4",1998-10-13,39,53,0.152173913043478
"5",1998-11-03,35,46,0.135802469135802
"6",1998-12-01,17,34,0.333333333333333
"7",1998-12-22,29,35,0.09375
"8",1999-01-07,13,31,0.409090909090909
"9",1999-02-04,23,24,0.0212765957446809
"10",1999-03-04,24,23,-0.0212765957446809
"11",1999-04-08,8,17,0.36
"12",1999-05-06,13,14,0.037037037037037
"13",1999-06-02,10,20,0.333333333333333
"14",1999-07-15,17,40,0.403508771929825
"15",1999-09-09,23,55,0.41025641025641
"16",1999-10-07,26,35,0.147540983606557
"17",1999-11-04,17,41,0.413793103448276
"18",1999-12-02,11,26,0.405405405405405
"19",2000-01-05,11,30,0.463414634146341
"20",2000-02-03,20,45,0.384615384615385
"21",2000-03-02,18,34,0.307692307692308
"22",2000-03-30,18,55,0.506849315068493
"23",2000-04-13,13,43,0.535714285714286
"24",2000-05-11,10,22,0.375
"25",2000-06-08,15,41,0.464285714285714
"26",2000-07-06,17,25,0.19047619047619
"27",2000-09-14,25,31,0.107142857142857
"28",2000-10-05,19,27,0.173913043478261
"29",2000-10-19,11,50,0.639344262295082
"30",2000-11-02,17,28,0.244444444444444
"31",2000-12-14,18,31,0.26530612244898
"32",2001-02-01,24,33,0.157894736842105
"33",2001-03-01,11,19,0.266666666666667
"34",2001-04-11,18,27,0.2
"35",2001-05-10,16,27,0.255813953488372
"36",2001-06-07,13,24,0.297297297297297
"37",2001-06-21,14,29,0.348837209302326
"38",2001-07-05,22,28,0.12
"39",2001-08-30,22,31,0.169811320754717
"40",2001-10-11,20,36,0.285714285714286
"41",2001-11-08,25,38,0.206349206349206
"42",2001-12-06,28,49,0.272727272727273
"43",2001-12-13,8,13,0.238095238095238
"44",2002-01-03,22,66,0.5
"45",2002-02-07,16,42,0.448275862068966
"46",2002-03-07,15,45,0.5
"47",2002-04-04,13,29,0.380952380952381
"48",2002-05-02,15,25,0.25
"49",2002-06-06,18,30,0.25
"50",2002-07-04,10,22,0.375
"51",2002-09-12,29,35,0.09375
